a_p1,a_o1,a_p2,a_o2,b_p1,b_o1,b_p2,b_o2,a_ev,b_ev,ev_diff,ev_ratio,rare
0.44,4.83,0.56,8.66,1,5.45,0,0,6.97,5.45,1.52,1.28,none
0.92,5.85,0.08,8.99,1,7.52,0,0,6.1,7.52,-1.42,0.81,attractive
0.13,2.94,0.87,19.21,1,15.83,0,0,17.09,15.83,1.26,1.08,unattractive
0.45,4.51,0.55,8.41,1,8.38,0,0,6.66,8.38,-1.72,0.79,none
0.94,3.27,0.06,14.36,1,3.43,0,0,3.94,3.43,0.51,1.15,attractive
0.72,11.44,0.28,14.96,1,12.13,0,0,12.43,12.13,0.3,1.02,none
0.31,11.58,0.69,15.63,1,12.42,0,0,14.37,12.42,1.95,1.16,none
0.38,9.75,0.62,18.87,1,18.66,0,0,15.4,18.66,-3.26,0.83,none
0.34,11.71,0.66,14.96,1,13.11,0,0,13.86,13.11,0.75,1.06,none
0.09,1.21,0.91,16.17,1,10.53,0,0,14.82,10.53,4.29,1.41,unattractive
0.56,1.79,0.44,12.84,1,7.56,0,0,6.65,7.56,-0.91,0.88,none
0.13,4.3,0.87,16.88,1,12.11,0,0,15.24,12.11,3.13,1.26,unattractive
0.26,4.59,0.74,18.58,1,11.54,0,0,14.94,11.54,3.4,1.29,none
0.49,1.35,0.51,18.65,1,6.78,0,0,10.17,6.78,3.39,1.5,none
0.21,9.26,0.79,11.47,1,11.11,0,0,11.01,11.11,-0.1,0.99,none
0.3,10.44,0.7,17.37,1,10.72,0,0,15.29,10.72,4.57,1.43,none
0.88,13.72,0.12,19.27,1,18.27,0,0,14.39,18.27,-3.88,0.79,attractive
0.42,1.11,0.58,12.99,1,6.66,0,0,8,6.66,1.34,1.2,none
0.19,12.38,0.81,12.48,1,12.48,0,0,12.46,12.48,-0.02,1,unattractive
0.15,2.26,0.85,18.88,1,5.98,0,0,16.39,5.98,10.41,2.74,unattractive
0.29,1.81,0.71,14.21,1,6.12,0,0,10.61,6.12,4.49,1.73,none
0.29,13.99,0.71,17.62,1,16.44,0,0,16.57,16.44,0.13,1.01,none
0.3,4.07,0.7,15.71,1,14.69,0,0,12.22,14.69,-2.47,0.83,none
0.63,5.13,0.37,15.8,1,14.64,0,0,9.08,14.64,-5.56,0.62,none
0.6,10.99,0.4,18.57,1,16.08,0,0,14.02,16.08,-2.06,0.87,none
0.53,2.97,0.47,10.29,1,3.5,0,0,6.41,3.5,2.91,1.83,none
